
Username,Password,EmployeeID,FullName
mgarcia,Garcia10001,10001,Manuel III Garcia
alim,Lim10002,10002,Antonio Lim
baquino,Aquino10003,10003,Bianca Sofia Aquino
ireyes,Reyes10004,10004,Isabella Reyes
ehernandez,Hernandez10005,10005,Eduard Hernandez
avillanueva,Villanueva10006,10006,Andrea Mae Villanueva
bsan jose,San Jose10007,10007,Brad San Jose
aromualdez,Romualdez10008,10008,Alice Romualdez
ratienza,Atienza10009,10009,Rosie Atienza
ralvaro,Alvaro10010,10010,Roderick Alvaro
asalcedo,Salcedo10011,10011,Anthony Salcedo
jlopez,Lopez10012,10012,Josie Lopez
mfarala,Farala10013,10013,Martha Farala
lmartinez,Martinez10014,10014,Leila Martinez
fromualdez,Romualdez10015,10015,Fredrick Romualdez
cmata,Mata10016,10016,Christian Mata
sde leon,De Leon10017,10017,Selena De Leon
asan jose,San Jose10018,10018,Allison San Jose
crosario,Rosario10019,10019,Cydney Rosario
mbautista,Bautista10020,10020,Mark Bautista
dlazaro,Lazaro10021,10021,Darlene Lazaro
kdelos santos,Delos Santos10022,10022,Kolby Delos Santos
vsantos,Santos10023,10023,Vella Santos
tdel rosario,Del Rosario10024,10024,Tomas Del Rosario
jtolentino,Tolentino10025,10025,Jacklyn Tolentino
pgutierrez,Gutierrez10026,10026,Percival Gutierrez
gmanalaysay,Manalaysay10027,10027,Garfield Manalaysay
lvillegas,Villegas10028,10028,Lizeth Villegas
cramos,Ramos10029,10029,Carol Ramos
emaceda,Maceda10030,10030,Emelia Maceda
daguilar,Aguilar10031,10031,Delia Aguilar
jcastro,Castro10032,10032,John Rafael Castro
cmartinez,Martinez10033,10033,Carlos Ian Martinez
bsantos,Santos10034,10034,Beatriz Santos
